Fecha,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Canal_Venta,Año,Mes
03-2016,PIMIENTOS,1343.98,3023.01,2.25,9.44,HIPERMERCADOS,2016,3
03-2016,CHAMPIÑONES+O.SETAS,409.46,1659.95,4.05,4.27,HIPERMERCADOS,2016,3
03-2016,LECHUGA/ESC./ENDIVIA,978.33,3034.43,0.31,7.48,HIPERMERCADOS,2016,3
03-2016,ESPARRAGOS,175.77,603.64,3.43,1.03,HIPERMERCADOS,2016,3
03-2016,VERDURAS DE HOJA,275.24,818.71,2.97,2.73,HIPERMERCADOS,2016,3
03-2016,BERENJENAS,346.83,482.58,1.39,3.09,HIPERMERCADOS,2016,3
03-2016,ZANAHORIAS,1358.39,1099.09,0.81,6.78,HIPERMERCADOS,2016,3
03-2016,CALABACINES,1589.91,2041.64,1.28,7.23,HIPERMERCADOS,2016,3
03-2016,OTR.HORTALIZAS/VERD.,3062.88,7074.6,2.31,1.36,HIPERMERCADOS,2016,3
03-2016,VERD./HORT. IV GAMA,1287.22,4471.18,3.47,9.43,HIPERMERCADOS,2016,3
04-2016,TOTAL PATATAS,12842.73,11087.42,0.86,15.64,HIPERMERCADOS,2016,4
04-2016,PATATAS FRESCAS,6762.68,4989.5,0.74,7.78,HIPERMERCADOS,2016,4
04-2016,PATATAS CONGELADAS,415.62,566.98,1.36,1.52,HIPERMERCADOS,2016,4
04-2016,PATATAS PROCESADAS,1132.89,5530.94,4.88,10.35,HIPERMERCADOS,2016,4
04-2016,T.HORTALIZAS FRESCAS,18151.96,34120.07,1.88,26.69,HIPERMERCADOS,2016,4
04-2016,TOMATES,3755.96,6361.42,1.69,13.31,HIPERMERCADOS,2016,4
04-2016,CEBOLLAS,2218.96,2479.58,1.12,8.49,HIPERMERCADOS,2016,4
04-2016,AJOS,277.28,1366.74,4.93,3.95,HIPERMERCADOS,2016,4
04-2016,COLES,443.81,463.43,1.04,2.07,HIPERMERCADOS,2016,4
04-2016,PEPINOS,532.69,796.17,1.49,3.89,HIPERMERCADOS,2016,4
04-2016,JUDIAS VERDES,488.97,1419.98,0.29,2.82,HIPERMERCADOS,2016,4
04-2016,PIMIENTOS,1407.46,3133.14,2.23,9.18,HIPERMERCADOS,2016,4
04-2016,CHAMPIÑONES+O.SETAS,545.19,1866.68,3.42,4.71,HIPERMERCADOS,2016,4
04-2016,LECHUGA/ESC./ENDIVIA,964.58,3245.85,3.37,8.34,HIPERMERCADOS,2016,4
04-2016,ESPARRAGOS,527.58,1347.76,2.55,2.64,HIPERMERCADOS,2016,4
04-2016,VERDURAS DE HOJA,250.5,703.32,2.81,2.15,HIPERMERCADOS,2016,4
04-2016,BERENJENAS,516.38,669.56,0.13,3.16,HIPERMERCADOS,2016,4
04-2016,ZANAHORIAS,1273.85,977.18,0.77,6.35,HIPERMERCADOS,2016,4
04-2016,CALABACINES,1791.82,2008.98,1.12,7.31,HIPERMERCADOS,2016,4
04-2016,OTR.HORTALIZAS/VERD.,3156.91,7280.28,2.31,13.24,HIPERMERCADOS,2016,4
04-2016,VERD./HORT. IV GAMA,1357.55,5068.3,3.73,9.09,HIPERMERCADOS,2016,4
05-2016,TOTAL PATATAS,11666.24,10555.4,0.09,15.39,HIPERMERCADOS,2016,5
05-2016,PATATAS FRESCAS,6077.69,4562.02,0.75,7.35,HIPERMERCADOS,2016,5
05-2016,PATATAS CONGELADAS,454.33,624.02,1.37,1.66,HIPERMERCADOS,2016,5
05-2016,PATATAS PROCESADAS,1026.85,5369.36,5.23,10.24,HIPERMERCADOS,2016,5
