Fecha,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Canal_Venta,Año,Mes
09-2014,CHAMPIÑONES+O.SETAS,385.29,1338.22,3.47,3.83,HIPERMERCADOS,2014,9
09-2014,LECHUGA/ESC./ENDIVIA,964.23,2243.74,2.33,0.71,HIPERMERCADOS,2014,9
09-2014,ESPARRAGOS,153.88,251.66,1.64,0.63,HIPERMERCADOS,2014,9
09-2014,VERDURAS DE HOJA,218.44,738.7,3.38,2.13,HIPERMERCADOS,2014,9
09-2014,BERENJENAS,362.64,517.93,1.43,2.91,HIPERMERCADOS,2014,9
09-2014,ZANAHORIAS,1324.03,1006.06,0.76,6.73,HIPERMERCADOS,2014,9
09-2014,CALABACINES,974.46,1274.43,1.31,5.08,HIPERMERCADOS,2014,9
09-2014,OTR.HORTALIZAS/VERD.,2120.96,5603.44,2.64,12.64,HIPERMERCADOS,2014,9
09-2014,VERD./HORT. IV GAMA,1034.78,3919.31,3.79,8.28,HIPERMERCADOS,2014,9
09-2014,VERD./HORT. ECOLOGIC,414.39,666.04,1.61,1.39,HIPERMERCADOS,2014,9
10-2014,TOTAL PATATAS,12947.48,9357.73,0.72,15.68,HIPERMERCADOS,2014,10
10-2014,PATATAS FRESCAS,7423.6,3916.96,0.53,7.81,HIPERMERCADOS,2014,10
10-2014,PATATAS CONGELADAS,427.75,477.82,1.12,1.19,HIPERMERCADOS,2014,10
10-2014,PATATAS PROCESADAS,1019.23,4962.95,4.87,10.31,HIPERMERCADOS,2014,10
10-2014,T.HORTALIZAS FRESCAS,17063.76,30529.17,1.79,27.17,HIPERMERCADOS,2014,10
10-2014,TOMATES,3870.44,6259.08,1.62,13.73,HIPERMERCADOS,2014,10
10-2014,CEBOLLAS,2419.11,2431.53,1.01,9.04,HIPERMERCADOS,2014,10
10-2014,AJOS,214.34,923.29,4.31,0.33,HIPERMERCADOS,2014,10
10-2014,COLES,482.26,561.23,1.16,1.75,HIPERMERCADOS,2014,10
10-2014,PEPINOS,571.89,742.28,0.13,3.44,HIPERMERCADOS,2014,10
10-2014,JUDIAS VERDES,331.46,1077.02,3.25,2.74,HIPERMERCADOS,2014,10
10-2014,PIMIENTOS,1355.27,2189.21,1.62,9.01,HIPERMERCADOS,2014,10
10-2014,CHAMPIÑONES+O.SETAS,441.4,1968.71,4.46,4.67,HIPERMERCADOS,2014,10
10-2014,LECHUGA/ESC./ENDIVIA,1282.13,2979.66,2.32,8.44,HIPERMERCADOS,2014,10
10-2014,ESPARRAGOS,131.78,370.74,2.81,0.81,HIPERMERCADOS,2014,10
10-2014,VERDURAS DE HOJA,288.59,922.38,0.32,2.51,HIPERMERCADOS,2014,10
10-2014,BERENJENAS,373.93,481.74,1.29,2.82,HIPERMERCADOS,2014,10
10-2014,ZANAHORIAS,1396.12,1040.17,0.75,7.45,HIPERMERCADOS,2014,10
10-2014,CALABACINES,1228.99,1777.0,1.45,5.81,HIPERMERCADOS,2014,10
10-2014,OTR.HORTALIZAS/VERD.,2676.05,6805.14,2.54,13.54,HIPERMERCADOS,2014,10
10-2014,VERD./HORT. IV GAMA,1012.37,4193.46,4.14,7.95,HIPERMERCADOS,2014,10
10-2014,VERD./HORT. ECOLOGIC,485.24,751.71,1.55,1.59,HIPERMERCADOS,2014,10
